,Distance,Last Finish pos,Last-1 Finish pos,Weight,Wins,Places,win%,Place%,Course Wins,Course Places,Course Starts,Distance Wins,Distance Places,Good Wins,Good Places,Good Starts, age,1Up Wins,1Up Places,1Up Starts,2Up Wins,2Up Places,2Up Starts,3Up Wins,3Up Places,3Up Starts,4Up Wins,4Up Places,4Up Starts,Last Base Rating,Last Finish Pos,Last-1 Base Rating,Last-1 WFA Rating,Last-1 Finish Pos,Last-2 Base Rating,Last-2 WFA Rating,Last-2 Finish Pos,Last-3 Base Rating,Last-3 WFA Rating,Last-3 Finish Pos,Last-4 Base Rating,Last-4 WFA Rating,Last-4 Finish Pos,Joc Ovrl12m Wins,Joc Ovrl12m Places,Joc Ovrl12m Starts,Trn Loc12m Wins,Trn Loc12m Places,Trn Loc12m Starts,Trn Loc5y Wins,Trn Loc5y Places,Trn Loc5y Starts,Trn Ovrl12m Wins,Trn Ovrl12m Places,Trn Ovrl12m Starts,Joc/Trn Wins,Joc/Trn Starts,Last Dist,Last Margin,Last Weight,Last-1 Dist,Last-1 Margin,Last-1 Weight,Last-2 Dist,Last-2 Margin,Last-2 Weight,Last-3 Dist,Last-3 Margin,Last-3 Weight,Cluster,Horse Rating
315,2200,6.0,2.0,68.0,2,3,29.0,43.0,0,0,0,2,2,1,2,4,5,0.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,18.0,6.0,31.0,31.5,2.0,26.0,26.5,1.0,25.0,26.0,3.0,25.0,26.5,1.0,0,2,32,20,32,141,86,168,723,53,115,497,0,6,2040.0,8.0,54.5,2200.0,1.3,68.0,2000.0,0.5,55.0,1950.0,4.0,59.0,93,94
316,2200,9.0,3.0,68.0,3,3,13.0,13.0,0,0,2,3,1,0,0,6,6,1.0,0.0,5.0,0.0,1.0,5.0,1.0,0.0,4.0,1.0,0.0,3.0,0.5,9.0,28.5,28.5,3.0,23.0,23.0,4.0,26.0,26.0,1.0,13.5,13.5,11.0,12,13,90,9,17,87,35,65,340,21,47,253,0,0,2100.0,28.3,58.5,2000.0,2.2,58.5,2200.0,4.0,60.0,2100.0,1.8,70.0,93,94
317,2200,1.0,7.0,67.5,3,2,16.0,11.0,1,1,4,3,1,0,0,5,6,0.0,0.0,3.0,0.0,0.0,3.0,0.0,2.0,3.0,1.0,0.0,3.0,28.5,1.0,2.0,2.0,7.0,2.0,2.0,7.0,19.0,19.0,3.0,12.0,12.0,7.0,17,31,103,13,20,79,54,74,333,26,52,227,1,1,2200.0,1.3,68.0,3100.0,28.3,68.0,3000.0,34.3,68.0,2200.0,4.3,65.0,93,94
318,2200,0.0,1.0,67.5,4,3,13.0,10.0,0,0,1,3,3,0,2,15,7,1.0,0.0,4.0,0.0,0.0,4.0,0.0,1.0,4.0,0.0,1.0,4.0,14.0,10.0,28.0,28.0,1.0,25.0,25.0,1.0,1.5,1.5,10.0,13.5,13.5,7.0,1,2,11,2,2,14,11,19,118,5,8,46,0,0,2000.0,11.7,57.5,2100.0,1.5,58.5,2100.0,0.2,55.5,2100.0,17.8,54.0,93,94
319,2200,1.0,7.0,65.5,7,11,13.0,21.0,1,1,7,0,0,0,1,7,7,0.0,1.0,6.0,1.0,1.0,6.0,1.0,1.0,5.0,0.0,1.0,5.0,26.5,1.0,24.5,24.5,7.0,15.0,15.0,6.0,20.5,20.5,8.0,23.5,23.5,2.0,19,30,110,4,4,44,11,24,139,9,8,114,1,7,1800.0,3.0,55.0,2000.0,3.5,54.0,1600.0,9.9,51.0,1560.0,6.3,54.0,93,94
320,2200,4.0,2.0,65.0,4,13,10.0,31.0,0,1,2,2,7,2,3,14,9,2.0,2.0,8.0,0.0,3.0,6.0,1.0,1.0,6.0,1.0,2.0,6.0,18.0,4.0,23.0,23.0,2.0,22.5,22.5,2.0,4.0,4.0,6.0,2.5,2.5,9.0,59,131,703,9,17,87,35,65,340,21,47,253,0,7,3100.0,7.1,65.0,3100.0,2.0,68.0,2100.0,1.5,54.0,3100.0,14.1,68.0,47,48
321,2200,7.0,7.0,65.0,3,1,14.0,5.0,1,0,1,2,0,0,0,3,6,0.0,1.0,3.0,0.0,0.0,3.0,1.0,0.0,3.0,2.0,0.0,3.0,19.0,7.0,23.5,23.5,7.0,28.5,28.5,1.0,20.5,20.5,5.0,16.0,16.0,7.0,1,6,47,1,0,4,1,2,23,1,0,7,0,0,2100.0,7.8,58.5,2100.0,5.5,55.5,2200.0,1.0,56.5,2200.0,6.8,54.0,93,94
322,2200,8.0,0.0,65.0,3,6,8.0,15.0,0,1,1,1,2,1,3,13,7,0.0,1.0,5.0,0.0,0.0,5.0,0.0,1.0,5.0,0.0,1.0,4.0,1.0,8.0,-0.5,-0.5,10.0,21.0,21.0,5.0,14.5,14.5,5.0,10.0,10.0,9.0,0,3,13,0,3,19,2,4,29,4,12,75,0,0,2200.0,21.9,66.5,2100.0,43.6,52.5,2100.0,5.6,54.0,2200.0,6.4,63.0,93,94
323,1950,7.0,0.0,70.0,2,6,13.0,38.0,0,0,0,1,3,2,4,9,8,1.0,1.0,5.0,1.0,1.0,3.0,0.0,1.0,2.0,0.0,1.0,2.0,11.5,7.0,-4.5,-4.5,11.0,-1.0,-1.0,9.0,7.0,7.0,10.0,2.5,2.5,12.0,0,2,12,28,72,304,38,98,330,58,165,786,0,7,1600.0,9.1,53.5,1600.0,21.5,54.0,1600.0,18.1,54.5,1600.0,13.4,55.5,93,94
324,1950,5.0,4.0,68.5,1,1,8.0,8.0,0,0,0,1,0,0,0,7,4,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,14.5,5.0,17.0,17.5,4.0,23.5,24.5,1.0,8.0,9.0,4.0,7.0,8.0,3.0,0,0,8,3,5,35,7,16,96,22,40,220,0,2,2100.0,6.7,55.5,2100.0,7.1,58.5,2000.0,5.0,58.5,2100.0,10.4,58.5,93,94
