Distance,Last Finish pos,Last-1 Finish pos,Weight,Wins,Places,win%,Place%,Course Wins,Course Places,Course Starts,Distance Wins,Distance Places,Good Wins,Good Places,Good Starts,age,1Up Wins,1Up Places,1Up Starts,2Up Wins,2Up Places,2Up Starts,3Up Wins,3Up Places,3Up Starts,4Up Wins,4Up Places,4Up Starts,Last Base Rating,Last Finish Pos,Last-1 Base Rating,Last-1 WFA Rating,Last-1 Finish Pos,Last-2 Base Rating,Last-2 WFA Rating,Last-2 Finish Pos,Last-3 Base Rating,Last-3 WFA Rating,Last-3 Finish Pos,Last-4 Base Rating,Last-4 WFA Rating,Last-4 Finish Pos,Joc Ovrl12m Wins,Joc Ovrl12m Places,Joc Ovrl12m Starts,Trn Loc12m Wins,Trn Loc12m Places,Trn Loc12m Starts,Trn Loc5y Wins,Trn Loc5y Places,Trn Loc5y Starts,Trn Ovrl12m Wins,Trn Ovrl12m Places,Trn Ovrl12m Starts,Joc/Trn Wins,Joc/Trn Starts,Last Dist,Last Margin,Last Weight,Last-1 Dist,Last-1 Margin,Last-1 Weight,Last-2 Dist,Last-2 Margin,Last-2 Weight,Last-3 Dist,Last-3 Margin,Last-3 Weight
1215,3.0,0.0,56.5,1,2,17.0,33.0,1,1,3,1,2,1,1,4,4,1.0,1.0,3.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,29.0,3.0,12.5,13.0,12.0,38.5,39.5,2.0,31.0,32.5,1.0,11.0,15.5,13.0,31,67,429,6,4,24,9,12,42,14,9,59,1,7,1215.0,4.6,54.5,1200.0,16.0,55.0,1200.0,1.3,59.0,1215.0,0.3,53.5
1215,3.0,8.0,56.5,1,3,17.0,50.0,0,0,0,1,3,1,2,5,4,0.0,2.0,3.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,32.5,3.0,19.0,20.5,8.0,34.0,35.5,1.0,21.0,23.0,7.0,29.5,35.5,2.0,30,49,240,11,14,94,31,56,266,31,52,313,1,33,1200.0,3.8,56.5,1400.0,13.0,57.0,1200.0,0.1,56.5,1200.0,9.5,56.5
1215,0.0,1.0,56.5,1,2,20.0,40.0,1,0,1,1,2,0,1,3,4,1.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,28.5,11.0,34.0,34.0,1.0,33.0,35.0,2.0,24.0,26.0,6.0,35.0,37.5,3.0,106,216,1036,2,2,14,3,2,26,2,6,31,0,1,1200.0,6.4,56.0,1230.0,0.5,56.5,1150.0,1.8,57.5,1300.0,8.4,57.5
1215,4.0,1.0,56.5,1,4,13.0,50.0,0,0,1,0,2,0,3,6,4,1.0,2.0,3.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,35.0,4.0,33.5,36.0,1.0,24.5,28.0,8.0,32.5,36.5,2.0,31.5,35.5,2.0,73,130,588,1,2,22,1,2,15,31,56,273,15,74,1400.0,1.7,56.5,1400.0,0.1,56.5,1600.0,7.7,55.0,1600.0,1.0,56.5
1215,2.0,4.0,56.0,1,3,7.0,20.0,0,0,1,1,3,1,3,12,4,0.0,1.0,4.0,0.0,1.0,4.0,1.0,0.0,3.0,0.0,0.0,1.0,35.5,2.0,32.5,33.0,4.0,25.0,26.0,8.0,27.5,28.5,10.0,34.0,35.5,1.0,32,91,465,0,2,14,10,21,122,2,8,46,0,5,1200.0,1.8,56.0,1200.0,2.1,55.5,1400.0,7.4,56.0,1200.0,6.1,56.5
1215,6.0,2.0,58.0,5,8,11.0,18.0,1,1,4,2,6,2,6,26,6,2.0,1.0,5.0,1.0,0.0,5.0,0.0,1.0,5.0,0.0,0.0,5.0,30.5,6.0,37.0,37.0,2.0,23.5,23.5,11.0,32.5,32.5,3.0,26.0,26.0,9.0,0,0,0,26,63,252,31,74,241,59,152,750,0,0,1400.0,5.3,58.0,1400.0,0.4,58.0,1400.0,9.1,57.5,1300.0,2.8,57.5
1215,4.0,3.0,56.0,2,1,22.0,11.0,1,0,4,2,1,0,0,0,5,1.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,28.5,4.0,32.5,33.0,3.0,14.0,15.0,14.0,28.0,32.0,10.0,26.0,30.5,5.0,0,0,0,10,11,79,36,62,337,21,37,244,0,0,1230.0,4.9,54.0,1200.0,2.2,54.0,1215.0,20.0,57.0,1200.0,7.6,57.5
1215,0.0,7.0,56.0,1,1,11.0,11.0,0,0,0,1,1,1,1,7,4,1.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,25.5,10.0,24.5,26.5,7.0,35.0,37.0,6.0,35.5,37.5,4.0,35.5,38.0,3.0,0,0,0,18,41,152,83,142,564,58,108,451,0,0,1200.0,6.3,53.0,1200.0,8.9,56.5,1200.0,2.0,56.5,1400.0,1.5,56.5
1215,0.0,9.0,57.5,1,2,11.0,22.0,0,0,0,1,2,1,2,9,4,1.0,2.0,4.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,17.5,15.0,36.0,36.5,9.0,34.5,35.0,1.0,30.0,31.5,4.0,27.0,28.5,4.0,0,0,0,6,15,75,37,57,318,25,58,312,0,0,1400.0,13.6,58.0,1400.0,1.7,58.5,1200.0,1.8,58.5,1200.0,2.9,58.5
1215,4.0,9.0,55.5,1,6,6.0,35.0,1,0,2,1,6,0,4,9,5,0.0,2.0,4.0,1.0,2.0,3.0,0.0,1.0,3.0,0.0,0.0,2.0,31.5,4.0,23.5,23.5,9.0,33.5,33.5,2.0,26.0,26.0,6.0,33.0,33.0,11.0,0,0,0,31,53,256,125,159,756,97,161,721,0,0,1200.0,3.3,55.5,1400.0,6.7,53.0,1300.0,1.5,55.5,1400.0,7.4,56.0
